,EIX
Price/Earnings (TTM),33.91791
Price/Sales (TTM),1.48339
Price/Book (MRQ),1.82838
Price/Cash Flow (TTM),7.46661
5yr Low,43.63
5yr High,81.96
5yr Avg Return,-0.01948333333333334
EPS Growth 5yr,-0.1268824
Revenue Growth 5yr,0.046606800000000004
Dividend Growth 5yr,0.0665689
Short Int Current Month,5749988.0
Short Int Prev Month,5789862.0
Short Int Pct of Float,0.015072200000000001
Days to Cover,3.15645
Float,381.5347
Shares Outstanding,381.8747
Institutions Holding Shares,990.0
% Held by Institutions,0.887672
FCF Growth 5yr,0.6807318066721691
