,EL
% Above Low,0.17989999999999998
% Held by Institutions,0.8901
52-Wk Range,['186.47 - 374.20']
Annual Dividend $,2.64
Annual Dividend %,0.012
Ask,221.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,208.0
Bid Size,100.0
Closing Price,220.01
Day Change $,-2.7
Day Change %,-0.0121
Day High,221.73
Day Low,217.37
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",6.0
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.41100000000000003
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,78.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",36.64
Prev Close,222.71
Shares Outstanding,356.8M
Short Interest,0.0149
Today's Open,220.71
Volume,1076021.0
Volume 10-day Avg,1941722.0
Volume Past Day,(Light)
