,ELAN
% Above Low,0.109
% Held by Institutions,0.9428
52-Wk Range,['11.34 - 30.85']
Annual Dividend $,
Annual Dividend %,
Ask,14.01
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,11.89
Bid Size,100.0
Closing Price,12.57
Day Change $,0.36
Day Change %,0.029500000000000002
Day High,12.66
Day Low,12.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.25
Ex-dividend Date,No dividend
Historical Volatility,0.41500000000000004
Last (size),1100.0
Last (time),5:00p ET 11/25/22
Market Cap,6.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,12.21
Shares Outstanding,474.2M
Short Interest,0.0259
Today's Open,12.11
Volume,2136001.0
Volume 10-day Avg,7824983.0
Volume Past Day,(Light)
