,ELY
% Above Low,0.21550000000000002
% Held by Institutions,0.7845
52-Wk Range,['16.80 - 29.10']
Annual Dividend $,
Annual Dividend %,
Ask,25.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.7
Bid,14.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,20.42
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.03
Ex-dividend Date,No dividend
Historical Volatility,0.513
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,20.42
Market Cap,3.8B
"P/E Ratio (TTM, GAAP)",19.79
Prev Close,20.42
Shares Outstanding,184.8M
Short Interest,0.08349999999999999
Today's Open,
Volume,1.0
Volume 10-day Avg,1504340.0
Volume Past Day,(Light)
