,ENS
Price/Earnings (TTM),24.39597
Price/Sales (TTM),0.87309
Price/Book (MRQ),2.19596
Price/Cash Flow (TTM),13.85018
5yr Low,35.21
5yr High,104.47
5yr Avg Return,0.01995
EPS Growth 5yr,-0.0156741
Revenue Growth 5yr,0.0723916
Dividend Growth 5yr,0.0
Short Int Current Month,1474669.0
Short Int Prev Month,1858596.0
Short Int Pct of Float,0.036807
Days to Cover,6.21143
Float,40.10026
Shares Outstanding,40.82956
Institutions Holding Shares,356.0
% Held by Institutions,0.9881570000000001
FCF Growth 5yr,-0.03027156114967237
