,ENS
% Below High,0.08839999999999999
% Held by Institutions,0.9882
52-Wk Range,['55.60 - 83.26']
Annual Dividend $,0.7
Annual Dividend %,0.0092
Ask,78.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,31.73
Bid Size,100.0
Closing Price,75.9
Day Change $,0.22
Day Change %,0.0029
Day High,76.19
Day Low,75.1
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.11
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.38
Last (size),19.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.4
Prev Close,75.68
Shares Outstanding,40.8M
Short Interest,0.0368
Today's Open,75.58
Volume,110588.0
Volume 10-day Avg,247683.0
Volume Past Day,(Light)
