,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,39.48,28.17,,,,,
low,11.65,7.26,,,,,
change,1.0207,-0.5508,,,,,
Date,,,2022-01-02 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Balance Sheet
Cash and Short Term Invs,,,385.0,408.0,385.0,349.0,Balance Sheet
"Total Receivables, Net",,,,,0.0,0.0,Balance Sheet
Invent. - Finished Goods,,,,,0.0,,Balance Sheet
Invent. - Work In Progress,,,,,0.0,,Balance Sheet
Invent. - Raw Materials,,,,,1.0,,Balance Sheet
Total Inventory,,,,,1.0,0.0,Balance Sheet
Prepaid Expenses,,,8.0,3.0,2.0,5.0,Balance Sheet
"Other Curr. Assets, Total",,,5.0,5.0,1.0,2.0,Balance Sheet
Total Current Assets,,,398.0,416.0,389.0,356.0,Balance Sheet
Buildings,,,2.0,2.0,23.0,23.0,Balance Sheet
Machinery/Equipment,,,7.0,7.0,48.0,48.0,Balance Sheet
Construction in Progress,,,71.0,78.0,24.0,40.0,Balance Sheet
Other Prop./Plant/Equip.,,,8.0,8.0,8.0,8.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,88.0,95.0,103.0,119.0,Balance Sheet
Accumulated Depreciation,,,-5.0,-5.0,-6.0,-9.0,Balance Sheet
Prop./Plant/Equip. - Net,,,83.0,90.0,97.0,110.0,Balance Sheet
Other Long Term Assets,,,1.0,1.0,1.0,2.0,Balance Sheet
Total Assets,,,483.0,506.0,487.0,468.0,Balance Sheet
Accounts Payable,,,3.0,2.0,6.0,7.0,Balance Sheet
Accrued Expenses,,,11.0,9.0,10.0,9.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,6.0,6.0,0.0,1.0,Balance Sheet
Other Current Liabilities,,,1.0,1.0,1.0,1.0,Balance Sheet
"Other Curr. Lblts, Total",,,6.0,6.0,1.0,2.0,Balance Sheet
Total Current Liabilities,,,21.0,17.0,17.0,18.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,136.0,68.0,41.0,92.0,Balance Sheet
Total Liabilities,,,156.0,85.0,59.0,109.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,0.0,,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,659.0,711.0,720.0,732.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-333.0,-290.0,-292.0,-374.0,Balance Sheet
Total Equity,,,326.0,421.0,429.0,358.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,483.0,506.0,487.0,468.0,Balance Sheet
