,ETN
% Below High,0.0479
% Held by Institutions,0.7929999999999999
52-Wk Range,['122.50 - 174.47']
Annual Dividend $,3.24
Annual Dividend %,0.0195
Ask,166.75
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,118.38
Bid Size,100.0
Closing Price,166.11
Day Change $,0.75
Day Change %,0.0045000000000000005
Day High,167.22
Day Low,165.78
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",5.71
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.284
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,66.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.08
Prev Close,165.36
Short Interest,0.011000000000000001
Today's Open,166.41
Volume,628913.0
Volume 10-day Avg,1626369.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.50501002004008
Growth 1yr High Est,0.13943028485757125
Growth 1yr Consensus Est,0.3222201524488256
Growth 2yr Low Est,0.2817992843209721
Growth 2yr High Est,0.13089935295510136
Growth 2yr Consensus Est,0.20634931863803674
Growth 5yr Low Est,0.1361982379831046
Growth 5yr High Est,0.13848763035232614
Growth 5yr Consensus Est,0.13734293416771537
Growth 5yr Actual/Est,0.13526430420751992
Growth 3yr Historic,0.07727904229476559
Price/Earnings (TTM),29.07706
Price/Sales (TTM),3.27591
Price/Book (MRQ),4.1114
Price/Cash Flow (TTM),20.34553
5yr Low,56.42
5yr High,175.72
5yr Avg Return,0.1609
EPS Growth 5yr,0.0492897
Revenue Growth 5yr,-0.0012082
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,4348307.0
Short Int Prev Month,4279975.0
Short Int Pct of Float,0.0109799
Days to Cover,1.8205
Float,396.1966
Shares Outstanding,397.7
Institutions Holding Shares,1759.0
FCF Growth 5yr,0.9165790900563776
"Price/Earnings (TTM, GAAP)",29.08
"PEG Ratio (TTM, GAAP)",2.87
Gross Profit Margin (TTM),0.3283
Operating Profit Margin (TTM),0.1396
Net Profit Margin (TTM),0.1137
Annual Dividend Yield,0.0195
Dividend Change %,0.041100000000000005
"Dividend Growth Rate, 3 Years",0.0481
EPS Growth (MRQ),0.012700000000000001
EPS Growth (TTM),0.10890000000000001
Revenue Growth (MRQ),0.0194
Revenue Growth (TTM),0.0333
Return On Equity (TTM),0.1431
Return On Assets (TTM),0.067
Return On Investment (TTM),0.0821
Revenue Per Employee (TTM),234633.0
Total Debt/Total Capital (MRQ),0.35869999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.77
Interest Coverage (MRQ),23.81
theStreet,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
theStreet since,2016-03-07 00:00:00
researchTeam since,2021-07-05 00:00:00
cfra since,2014-02-08 00:00:00
ford since,2022-03-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
