,EVA
% Above Low,0.3043
% Held by Institutions,0.8314
52-Wk Range,['45.88 - 91.06']
Annual Dividend $,3.62
Annual Dividend %,0.0605
Ask,64.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,52.17
Bid Size,100.0
Closing Price,59.84
Day Change $,0.14
Day Change %,0.0023
Day High,60.33
Day Low,59.33
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",-6.18
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.473
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,4.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,59.7
Shares Outstanding,66.8M
Short Interest,0.1714
Today's Open,59.33
Volume,88115.0
Volume 10-day Avg,297980.0
Volume Past Day,(Light)
