,EVR
% Below High,0.223
% Held by Institutions,0.8318000000000001
52-Wk Range,['78.67 - 146.16']
Annual Dividend $,2.88
Annual Dividend %,0.0254
Ask,123.3
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.5
Bid,86.06
Bid Size,500.0
Closing Price,113.56
Day Change $,0.64
Day Change %,0.005699999999999999
Day High,114.39
Day Low,111.97
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",15.11
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.392
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,4.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.51
Prev Close,112.92
Shares Outstanding,38.8M
Short Interest,0.0335
Today's Open,111.97
Volume,99431.0
Volume 10-day Avg,362022.0
Volume Past Day,(Light)
