,EXPE
% Above Low,0.1938
% Held by Institutions,0.9255
52-Wk Range,['85.02 - 217.72']
Annual Dividend $,
Annual Dividend %,
Ask,101.9
Ask Size,200.0
B/A Ratio,10.0
B/A Size,2000x200
Beta,1.5
Bid,101.5
Bid Size,2000.0
Closing Price,101.5
Day Change $,0.62
Day Change %,0.0060999999999999995
Day High,103.56
Day Low,100.1
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.82
Ex-dividend Date,No dividend
Historical Volatility,0.54
Last (size),38.0
Last (time),1:00p ET 11/25/22
Market Cap,15.8B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",36.01
Prev Close,100.88
Shares Outstanding,156.1M
Short Interest,0.0263
Today's Open,100.34
Volume,966751.0
Volume 10-day Avg,2159352.0
Volume Past Day,(Light)
