,FB
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,52.0
Growth 1yr Low Est,-0.3702290076335878
Growth 1yr High Est,-0.3063742289239205
Growth 1yr Consensus Est,-0.33830161827875416
Growth 2yr Low Est,-0.3845084432107333
Growth 2yr High Est,-0.05486695635919342
Growth 2yr Consensus Est,-0.21968769978496336
Growth 5yr Low Est,0.14466334111864765
Growth 5yr High Est,0.14424282239843797
Growth 5yr Consensus Est,0.14445308175854282
Growth 5yr Actual/Est,0.1133102556477035
Growth 3yr Historic,0.23348109626117663
