,FCFS
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.7210884353741496
Growth 1yr High Est,0.6807817589576548
Growth 1yr Consensus Est,0.7009350971659022
Growth 2yr Low Est,0.46627544298351753
Growth 2yr High Est,0.4498870035098351
Growth 2yr Consensus Est,0.45808122324667633
Growth 5yr Low Est,0.17404681240084965
Growth 5yr High Est,0.1702361226200575
Growth 5yr Consensus Est,0.17214146751045356
Growth 5yr Actual/Est,0.14923111743160591
Growth 3yr Historic,0.020687254994064347
