,FCX
Price/Earnings (TTM),14.06994
Price/Sales (TTM),2.29015
Price/Book (MRQ),3.55004
Price/Cash Flow (TTM),7.70787
5yr Low,4.82
5yr High,51.99
5yr Avg Return,0.26444999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.0902598
Dividend Growth 5yr,
Short Int Current Month,26207358.0
Short Int Prev Month,26776305.0
Short Int Pct of Float,0.0184321
Days to Cover,1.44497
Float,1421.837
Shares Outstanding,1429.327
Institutions Holding Shares,1481.0
% Held by Institutions,0.758969
FCF Growth 5yr,-0.0125735489617399
