,FDP
% Below High,0.12789999999999999
% Held by Institutions,0.6547
52-Wk Range,['22.63 - 31.44']
Annual Dividend $,0.75
Annual Dividend %,0.0274
Ask,30.8
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.6
Bid,22.35
Bid Size,1000.0
Closing Price,27.42
Day Change $,0.04
Day Change %,0.0015
Day High,27.8
Day Low,27.26
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",1.44
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.32
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.04
Prev Close,27.38
Shares Outstanding,47.8M
Short Interest,0.0171
Today's Open,27.4
Volume,274856.0
Volume 10-day Avg,222911.0
Volume Past Day,(Heavy Day)
