,FDX
% Above Low,0.2451
% Held by Institutions,0.7203
52-Wk Range,['141.92 - 266.79']
Annual Dividend $,4.6
Annual Dividend %,0.026000000000000002
Ask,176.99
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.3
Bid,176.22
Bid Size,500.0
Closing Price,176.7
Day Change $,0.34
Day Change %,0.0019
Day High,177.77
Day Low,176.01
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",13.6
Ex-dividend,2022-12-09 00:00:00
Ex-dividend Date,12/09/22
Historical Volatility,0.439
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,46.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.99
Prev Close,176.36
Shares Outstanding,260.2M
Short Interest,0.0232
Today's Open,177.25
Volume,445291.0
Volume 10-day Avg,2486274.0
Volume Past Day,(Light)
