,FIGS
Price/Earnings (TTM),36.65844
Price/Sales (TTM),2.11506
Price/Book (MRQ),3.53983
Price/Cash Flow (TTM),32.26797
5yr Low,5.55
5yr High,50.4
5yr Avg Return,-0.4009
Short Int Current Month,32712293.0
Short Int Prev Month,28147669.0
Short Int Pct of Float,0.2725013
Days to Cover,5.21029
Float,113.1685
Shares Outstanding,165.9628
Institutions Holding Shares,246.0
% Held by Institutions,0.7962250000000001
FCF Growth 5yr,0.6007804510152105
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
