,FIS
% Above Low,0.1672
% Held by Institutions,0.9148000000000001
52-Wk Range,['56.53 - 122.06']
Annual Dividend $,1.88
Annual Dividend %,0.0285
Ask,66.65
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,62.6
Bid Size,100.0
Closing Price,65.98
Day Change $,0.05
Day Change %,0.0008
Day High,66.18
Day Low,65.29
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",1.53
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.48100000000000004
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,39.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",43.06
Prev Close,65.93
Short Interest,0.0125
Today's Open,65.99
Volume,2400022.0
Volume 10-day Avg,7587787.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,34.0
Growth 1yr Low Est,0.04430379746835422
Growth 1yr High Est,0.019519519519519468
Growth 1yr Consensus Est,0.031911658493936845
Growth 2yr Low Est,0.0001822017644801388
Growth 2yr High Est,0.0708790528378157
Growth 2yr Consensus Est,0.03553062730114792
Growth 5yr Low Est,0.043431846637342564
Growth 5yr High Est,0.08448118414126343
Growth 5yr Consensus Est,0.063956515389303
Growth 5yr Actual/Est,0.052306637795077826
Growth 3yr Historic,0.043223932929815245
Price/Earnings (TTM),43.06283
Price/Sales (TTM),2.7025
Price/Book (MRQ),0.87046
Price/Cash Flow (TTM),7.99004
5yr Low,56.53
5yr High,158.21
5yr Avg Return,-0.020783333333333327
EPS Growth 5yr,-0.15812879999999999
Revenue Growth 5yr,0.0946043
Dividend Growth 5yr,0.07885239999999999
Short Int Current Month,7330303.0
Short Int Prev Month,6886648.0
Short Int Pct of Float,0.0124695
Days to Cover,0.68281
Float,587.9711
Shares Outstanding,593.3795
Institutions Holding Shares,1383.0
FCF Growth 5yr,0.3391794382789403
"Price/Earnings (TTM, GAAP)",43.06
"PEG Ratio (TTM, GAAP)",10.08
Gross Profit Margin (TTM),0.3874
Operating Profit Margin (TTM),0.1
Net Profit Margin (TTM),0.0653
Annual Dividend Yield,0.0285
Dividend Change %,0.0857
"Dividend Growth Rate, 3 Years",0.0674
EPS Growth (MRQ),-0.09519999999999999
EPS Growth (TTM),3.1845
Revenue Growth (MRQ),-0.0309
Revenue Growth (TTM),0.0714
Return On Equity (TTM),0.0203
Return On Assets (TTM),0.0118
Return On Investment (TTM),0.014199999999999999
Revenue Per Employee (TTM),222877.0
Total Debt/Total Capital (MRQ),0.2936
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),11.28
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-09-13 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-15 00:00:00
ford since,2021-12-10 00:00:00
marketEdge opinion since,
