,FIS
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,34.0
Growth 1yr Low Est,0.04430379746835422
Growth 1yr High Est,0.019519519519519468
Growth 1yr Consensus Est,0.031911658493936845
Growth 2yr Low Est,0.0001822017644801388
Growth 2yr High Est,0.0708790528378157
Growth 2yr Consensus Est,0.03553062730114792
Growth 5yr Low Est,0.043431846637342564
Growth 5yr High Est,0.08448118414126343
Growth 5yr Consensus Est,0.063956515389303
Growth 5yr Actual/Est,0.052306637795077826
Growth 3yr Historic,0.043223932929815245
