,FISV
% Below High,0.0766
% Held by Institutions,0.9048
52-Wk Range,['87.03 - 110.99']
Annual Dividend $,
Annual Dividend %,
Ask,105.01
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.9
Bid,102.2
Bid Size,100.0
Closing Price,102.49
Day Change $,0.41
Day Change %,0.004
Day High,103.48
Day Low,101.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.18
Ex-dividend Date,No dividend
Historical Volatility,0.31
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,65.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.19
Prev Close,102.08
Short Interest,0.0144
Today's Open,102.08
Volume,1446651.0
Volume 10-day Avg,3765839.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,0.16727272727272724
Growth 1yr High Est,0.1654804270462633
Growth 1yr Consensus Est,0.16637657715949528
Growth 2yr Low Est,0.13270178419711132
Growth 2yr High Est,0.15678601504984924
Growth 2yr Consensus Est,0.14474389962348028
Growth 5yr Low Est,0.15499923709898772
Growth 5yr High Est,0.16900709942191916
Growth 5yr Consensus Est,0.16200316826045344
Growth 5yr Actual/Est,0.1638333180459623
Growth 3yr Historic,0.09186085972850677
Price/Earnings (TTM),32.18917
Price/Sales (TTM),3.74843
Price/Book (MRQ),2.14943
Price/Cash Flow (TTM),12.82191
5yr Low,62.76
5yr High,127.34
5yr Avg Return,0.10325000000000001
EPS Growth 5yr,-0.008873299999999999
Revenue Growth 5yr,0.2413402
Dividend Growth 5yr,
Short Int Current Month,8915771.0
Short Int Prev Month,10341960.0
Short Int Pct of Float,0.014380299999999999
Days to Cover,1.77501
Float,621.7471
Shares Outstanding,635.0281
Institutions Holding Shares,1738.0
FCF Growth 5yr,0.36808219064195297
"Price/Earnings (TTM, GAAP)",32.19
"PEG Ratio (TTM, GAAP)",2.15
Gross Profit Margin (TTM),0.5269
Operating Profit Margin (TTM),0.1782
Net Profit Margin (TTM),0.1093
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1884
EPS Growth (TTM),0.6528
Revenue Growth (MRQ),0.015300000000000001
Revenue Growth (TTM),0.0989
Return On Equity (TTM),0.0672
Return On Assets (TTM),0.025099999999999997
Return On Investment (TTM),0.0335
Revenue Per Employee (TTM),394614.0
Total Debt/Total Capital (MRQ),0.40700000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.71
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-08-10 00:00:00
researchTeam since,2021-07-23 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-05-01 00:00:00
ford since,2020-06-26 00:00:00
marketEdge opinion since,
