,FIVN
% Above Low,0.3019
% Held by Institutions,1.0012999999999999
52-Wk Range,['46.61 - 146.46']
Annual Dividend $,
Annual Dividend %,
Ask,61.88
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,60.51
Bid Size,100.0
Closing Price,60.68
Day Change $,0.05
Day Change %,0.0008
Day High,61.23
Day Low,59.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.22
Ex-dividend Date,No dividend
Historical Volatility,0.674
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,4.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,60.63
Shares Outstanding,70.5M
Short Interest,0.0843
Today's Open,60.09
Volume,449798.0
Volume 10-day Avg,1423867.0
Volume Past Day,(Light)
