,FL
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.3786816269284713
Growth 1yr High Est,-0.4161331626120359
Growth 1yr Consensus Est,-0.3974073947702536
Growth 2yr Low Est,-0.2706049218163801
Growth 2yr High Est,-0.11815430060426357
Growth 2yr Consensus Est,-0.19437961121032182
Growth 5yr Low Est,-0.013173024582511572
Growth 5yr High Est,0.08142284969786817
Growth 5yr Consensus Est,0.0341249125576783
Growth 5yr Actual/Est,0.21285324765455055
Growth 3yr Historic,0.3337760677961207
