,FLIC
% Above Low,0.1757
% Held by Institutions,0.5751
52-Wk Range,['16.51 - 22.95']
Annual Dividend $,0.84
Annual Dividend %,0.0433
Ask,20.14
Ask Size,300.0
B/A Ratio,3.3333333333333335
B/A Size,1000x300
Beta,0.5
Bid,18.1
Bid Size,1000.0
Closing Price,19.41
Day Change $,0.57
Day Change %,0.030299999999999997
Day High,19.52
Day Low,18.92
Dividend Pay Date,2022-10-21 00:00:00
"EPS (TTM, GAAP)",1.98
Ex-dividend,2022-10-11 00:00:00
Ex-dividend Date,10/11/22
Historical Volatility,0.268
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,439.8M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.79
Prev Close,18.84
Short Interest,0.0067
Today's Open,18.93
Volume,34262.0
Volume 10-day Avg,71981.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.14444444444444438
Growth 1yr High Est,0.1567567567567567
Growth 1yr Consensus Est,0.15060060060060054
Growth 2yr Low Est,-0.012729234088457442
Growth 2yr High Est,0.09239706996716346
Growth 2yr Consensus Est,0.03983391793935301
Growth 5yr Low Est,0.008013096154924598
Growth 5yr High Est,0.06210279383681405
Growth 5yr Consensus Est,0.035057944995869325
Growth 5yr Actual/Est,0.04213902018540147
Growth 3yr Historic,0.03074084389360815
Price/Earnings (TTM),9.78879
Price/Sales (TTM),3.43103
Price/Book (MRQ),1.2228
Price/Cash Flow (TTM),8.73457
5yr Low,12.16
5yr High,31.53
5yr Avg Return,-0.04200000000000001
EPS Growth 5yr,0.0629882
Revenue Growth 5yr,0.0338148
Dividend Growth 5yr,0.0735429
Short Int Current Month,144332.0
Short Int Prev Month,191531.0
Short Int Pct of Float,0.0066748
Days to Cover,1.66187
Float,21.63048
Shares Outstanding,22.65858
Institutions Holding Shares,159.0
FCF Growth 5yr,0.4201264433760647
"Price/Earnings (TTM, GAAP)",9.79
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4416
Net Profit Margin (TTM),0.3592
Annual Dividend Yield,0.0433
Dividend Change %,0.05480000000000001
"Dividend Growth Rate, 3 Years",0.07490000000000001
EPS Growth (MRQ),0.0085
EPS Growth (TTM),0.0587
Revenue Growth (MRQ),0.059000000000000004
Revenue Growth (TTM),0.055999999999999994
Return On Equity (TTM),0.1182
Return On Assets (TTM),0.011000000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-12-03 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-02 00:00:00
cfra since,
marketEdge opinion since,
