,FLNC
% Above Low,2.7419000000000002
% Held by Institutions,0.5013000000000001
52-Wk Range,['4.96 - 36.71']
Annual Dividend $,
Annual Dividend %,
Ask,18.7
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,
Bid,18.38
Bid Size,100.0
Closing Price,18.56
Day Change $,1.27
Day Change %,0.0735
Day High,18.76
Day Low,17.26
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.0
Ex-dividend Date,No dividend
Historical Volatility,0.9920000000000001
Last (size),199.0
Last (time),1:00p ET 11/25/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,17.29
Shares Outstanding,114.3M
Short Interest,0.06480000000000001
Today's Open,17.26
Volume,501501.0
Volume 10-day Avg,668937.0
Volume Past Day,(Light)
