,FNB
% Below High,0.046900000000000004
% Held by Institutions,0.7754000000000001
52-Wk Range,['10.48 - 14.71']
Annual Dividend $,0.48
Annual Dividend %,0.0342
Ask,15.15
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,1.1
Bid,12.0
Bid Size,100.0
Closing Price,14.02
Day Change $,0.14
Day Change %,0.0101
Day High,14.09
Day Low,13.88
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.14
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.28800000000000003
Last (size),4200.0
Last (time),5:00p ET 11/25/22
Market Cap,4.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.35
Prev Close,13.88
Shares Outstanding,350.8M
Short Interest,0.025699999999999997
Today's Open,13.94
Volume,622784.0
Volume 10-day Avg,2235680.0
Volume Past Day,(Light)
