,FNKO
Price/Earnings (TTM),9.4534
Price/Sales (TTM),0.35099
Price/Book (MRQ),1.14429
Price/Cash Flow (TTM),4.48208
5yr Low,3.12
5yr High,31.12
5yr Avg Return,0.16093333333333334
EPS Growth 5yr,0.1323052
Revenue Growth 5yr,0.1925588
Dividend Growth 5yr,
Short Int Current Month,2348907.0
Short Int Prev Month,2077794.0
Short Int Pct of Float,0.0757595
Days to Cover,0.75003
Float,31.02399
Shares Outstanding,50.47683
Institutions Holding Shares,196.0
% Held by Institutions,0.657554
FCF Growth 5yr,-0.14799436411715394
