,FOCS
% Above Low,0.2821
% Held by Institutions,0.9901000000000001
52-Wk Range,['30.27 - 67.28']
Annual Dividend $,
Annual Dividend %,
Ask,39.18
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,38.44
Bid Size,100.0
Closing Price,38.81
Day Change $,0.09
Day Change %,0.0023
Day High,39.06
Day Low,38.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.51
Ex-dividend Date,No dividend
Historical Volatility,0.452
Last (size),28.0
Last (time),1:00p ET 11/25/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",25.66
Prev Close,38.72
Short Interest,0.0385
Today's Open,38.78
Volume,83371.0
Volume 10-day Avg,335464.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.15013404825737275
Growth 1yr High Est,0.1237373737373737
Growth 1yr Consensus Est,0.13693571099737323
Growth 2yr Low Est,0.029612478674140907
Growth 2yr High Est,0.08434059698104646
Growth 2yr Consensus Est,0.05697653782759368
Growth 5yr Low Est,0.12114025384802866
Growth 5yr High Est,0.15997982403592945
Growth 5yr Consensus Est,0.14056003894197905
Growth 5yr Actual/Est,0.16621929253047577
Growth 3yr Historic,0.14224409900478963
Price/Earnings (TTM),25.65628
Price/Sales (TTM),1.41944
Price/Book (MRQ),2.81405
Price/Cash Flow (TTM),7.44814
5yr Low,12.17
5yr High,69.13
5yr Avg Return,0.07016
EPS Growth 5yr,-0.064414
Revenue Growth 5yr,0.2993548
Dividend Growth 5yr,
Short Int Current Month,2233794.0
Short Int Prev Month,2446763.0
Short Int Pct of Float,0.0384831
Days to Cover,5.48162
Float,58.04612
Shares Outstanding,77.51963
Institutions Holding Shares,264.0
FCF Growth 5yr,-5.5457249993292015
"Price/Earnings (TTM, GAAP)",25.66
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1436
Net Profit Margin (TTM),0.0668
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1189
EPS Growth (TTM),11.4748
Revenue Growth (MRQ),-0.0359
Revenue Growth (TTM),0.2817
Return On Equity (TTM),0.1142
Return On Assets (TTM),0.0319
Return On Investment (TTM),0.0378
Revenue Per Employee (TTM),481711.0
Total Debt/Total Capital (MRQ),0.6535
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.94
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-10-17 00:00:00
researchTeam since,2022-10-17 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
