,FSLY
% Above Low,0.168
% Held by Institutions,0.5932999999999999
52-Wk Range,['7.32 - 44.08']
Annual Dividend $,
Annual Dividend %,
Ask,8.85
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.2
Bid,8.05
Bid Size,1000.0
Closing Price,8.55
Day Change $,-0.04
Day Change %,-0.004699999999999999
Day High,8.67
Day Low,8.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.68
Ex-dividend Date,No dividend
Historical Volatility,0.941
Last (size),140.0
Last (time),5:00p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.59
Shares Outstanding,123.0M
Short Interest,0.0962
Today's Open,8.47
Volume,918866.0
Volume 10-day Avg,3471338.0
Volume Past Day,(Light)
