,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,58.8,72.81,72.09,78.95,123.36,125.71,,,,,
low,52.06,51.0,53.16,39.59,70.93,84.04,,,,,
change,0.0425,-0.0504,0.28940000000000005,0.0958,0.5657,-0.0884,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,37.0,62.0,47.0,47.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,211.0,240.0,250.0,251.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-3.0,-3.0,-4.0,-3.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,208.0,237.0,246.0,248.0,Balance Sheet
Other Receivables,,,,,,,8.0,4.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,,,216.0,241.0,246.0,248.0,Balance Sheet
Prepaid Expenses,,,,,,,22.0,,,,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,0.0,,,,Balance Sheet
Other Current Assets,,,,,,,7.0,22.0,22.0,18.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,7.0,22.0,22.0,18.0,Balance Sheet
Total Current Assets,,,,,,,283.0,325.0,316.0,313.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,420.0,431.0,436.0,445.0,Balance Sheet
Accumulated Depreciation,,,,,,,-201.0,-207.0,-207.0,-214.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,367.0,377.0,383.0,378.0,Balance Sheet
"Goodwill, Net",,,,,,,267.0,266.0,288.0,288.0,Balance Sheet
Intangibles - Gross,,,,,,,262.0,262.0,276.0,275.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-107.0,-111.0,-115.0,-119.0,Balance Sheet
Intangibles - Net,,,,,,,155.0,151.0,160.0,155.0,Balance Sheet
Other Long Term Assets,,,,,,,46.0,48.0,50.0,51.0,Balance Sheet
Total Assets,,,,,,,1118.0,1167.0,1197.0,1186.0,Balance Sheet
Accounts Payable,,,,,,,56.0,54.0,42.0,51.0,Balance Sheet
Accrued Expenses,,,,,,,98.0,115.0,114.0,117.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,6.0,6.0,8.0,8.0,Balance Sheet
Discontinued Operations,,,,,,,0.0,,,,Balance Sheet
Other Current Liabilities,,,,,,,5.0,12.0,4.0,4.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,5.0,12.0,4.0,4.0,Balance Sheet
Total Current Liabilities,,,,,,,165.0,188.0,167.0,180.0,Balance Sheet
Long Term Debt,,,,,,,155.0,155.0,147.0,107.0,Balance Sheet
Capital Lease Obligations,,,,,,,10.0,9.0,11.0,11.0,Balance Sheet
Total Long Term Debt,,,,,,,165.0,164.0,158.0,118.0,Balance Sheet
Total Debt,,,,,,,171.0,170.0,166.0,126.0,Balance Sheet
Deferred Income Tax,,,,,,,43.0,45.0,45.0,45.0,Balance Sheet
Other LT Liabilities,,,,,,,151.0,158.0,162.0,160.0,Balance Sheet
Discont. Ops. - Lblts,,,,,,,0.0,,,,Balance Sheet
"Other Liabilities, Total",,,,,,,151.0,158.0,162.0,160.0,Balance Sheet
Total Liabilities,,,,,,,524.0,555.0,533.0,503.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,258.0,261.0,265.0,268.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,335.0,350.0,399.0,415.0,Balance Sheet
Total Equity,,,,,,,594.0,612.0,664.0,683.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,1118.0,1167.0,1197.0,1186.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,27.0,27.0,27.0,27.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,460.0,467.0,515.0,510.0,Income Statement
"Cost of Revenue, Total",,,,,,,252.0,253.0,271.0,261.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,12.0,12.0,13.0,12.0,Income Statement
Labor & Related Expense,,,,,,,84.0,86.0,86.0,91.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,95.0,98.0,100.0,103.0,Income Statement
Depreciation,,,,,,,8.0,7.0,8.0,8.0,Income Statement
Amortiz of Intangibles,,,,,,,4.0,4.0,4.0,4.0,Income Statement
Depreciation/Amortization,,,,,,,11.0,11.0,12.0,12.0,Income Statement
"Other Operat Expse, Total",,,,,,,49.0,47.0,57.0,62.0,Income Statement
Total Operating Expense,,,,,,,408.0,410.0,440.0,438.0,Income Statement
Total Operating Income,,,,,,,52.0,57.0,76.0,72.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-1.0,-1.0,-1.0,-2.0,Income Statement
Income Before Tax,,,,,,,51.0,57.0,74.0,70.0,Income Statement
Income Tax - Total,,,,,,,13.0,14.0,19.0,18.0,Income Statement
Income After Tax,,,,,,,38.0,43.0,55.0,52.0,Income Statement
Net Inc Before Extra Items,,,,,,,38.0,43.0,55.0,52.0,Income Statement
Discontinued Operations,,,,,,,2.0,0.0,0.0,,Income Statement
Tax on Extraordinary Items,,,,,,,0.0,,,,Income Statement
Total Extraordinary Items,,,,,,,2.0,0.0,0.0,,Income Statement
Total Net Income,,,,,,,40.0,43.0,55.0,52.0,Income Statement
Total Adjust to Net Income,,,,,,,0.0,0.0,0.0,0.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,38.0,42.0,55.0,52.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,40.0,42.0,55.0,52.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,27.0,27.0,27.0,27.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.41,1.58,2.05,1.94,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,1.49,1.58,2.05,1.94,Income Statement
Diluted Weighted Average Shares,,,,,,,27.0,27.0,27.0,27.0,Income Statement
