,GABC
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.0031645569620253333
Growth 1yr High Est,0.043887147335423204
Growth 1yr Consensus Est,0.02352585214872427
Growth 2yr Low Est,-0.014190592181447914
Growth 2yr High Est,0.06398561570975358
Growth 2yr Consensus Est,0.024897511764152835
Growth 5yr Low Est,0.08196049790069238
Growth 5yr High Est,0.1199165366684361
Growth 5yr Consensus Est,0.10093851728456424
Growth 5yr Actual/Est,0.10890441568557918
Growth 3yr Historic,0.09413372895905647
