,GCO
% Above Low,0.3889
% Held by Institutions,0.927
52-Wk Range,['37.54 - 72.34']
Annual Dividend $,
Annual Dividend %,
Ask,83.64
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.9
Bid,40.0
Bid Size,1000.0
Closing Price,52.14
Day Change $,-0.14
Day Change %,-0.0027
Day High,52.88
Day Low,52.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.63
Ex-dividend Date,No dividend
Historical Volatility,0.537
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,681.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.84
Prev Close,52.28
Shares Outstanding,13.1M
Short Interest,0.0564
Today's Open,52.52
Volume,35862.0
Volume 10-day Avg,112056.0
Volume Past Day,(Light)
