,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,207.85,230.0,193.76,190.08,210.21,254.99,,,,,
low,195.69,143.87,152.44,100.55,144.5,200.65,,,,,
change,0.0077,-0.22760000000000002,0.1354,-0.1613,0.39670000000000005,0.21420000000000003,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,1603.0,2907.0,2223.0,2496.0,Balance Sheet
"Total Receivables, Net",,,,,,,11539.0,10903.0,11032.0,10905.0,Balance Sheet
Invent. - Finished Goods,,,,,,,22.0,25.0,143.0,20.0,Balance Sheet
Invent. - Work In Progress,,,,,,,3654.0,3865.0,4287.0,4257.0,Balance Sheet
Invent. - Raw Materials,,,,,,,1651.0,1645.0,1715.0,1906.0,Balance Sheet
Inventories - Other,,,,,,,13.0,13.0,13.0,74.0,Balance Sheet
Total Inventory,,,,,,,5340.0,5548.0,6158.0,6257.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,1505.0,1436.0,1166.0,1347.0,Balance Sheet
Total Current Assets,,,,,,,19987.0,20794.0,20579.0,21005.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,11464.0,11631.0,11727.0,11899.0,Balance Sheet
Accumulated Depreciation,,,,,,,-6047.0,-6181.0,-6248.0,-6334.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,5417.0,5450.0,5479.0,5565.0,Balance Sheet
"Goodwill, Net",,,,,,,20098.0,20114.0,20002.0,20155.0,Balance Sheet
Intangibles - Gross,,,,,,,3874.0,3875.0,3852.0,3904.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-1896.0,-1949.0,-1985.0,-1983.0,Balance Sheet
Intangibles - Net,,,,,,,1978.0,1926.0,1867.0,1921.0,Balance Sheet
Other Long Term Assets,,,,,,,2593.0,2592.0,2554.0,2470.0,Balance Sheet
Total Assets,,,,,,,50073.0,50876.0,50481.0,51116.0,Balance Sheet
Accounts Payable,,,,,,,3167.0,3190.0,3138.0,3106.0,Balance Sheet
Accrued Expenses,,,,,,,1550.0,1466.0,1573.0,1611.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,1084.0,1005.0,1754.0,2252.0,Balance Sheet
Dividends Payable,,,,,,,331.0,350.0,346.0,347.0,Balance Sheet
Customer Advances,,,,,,,6266.0,6363.0,6531.0,6661.0,Balance Sheet
Other Current Liabilities,,,,,,,1580.0,1662.0,1394.0,1682.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,8177.0,8375.0,8271.0,8690.0,Balance Sheet
Total Current Liabilities,,,,,,,13978.0,14036.0,14736.0,15659.0,Balance Sheet
Long Term Debt,,,,,,,10490.0,10491.0,9741.0,9239.0,Balance Sheet
Capital Lease Obligations,,,,,,,258.0,,,,Balance Sheet
Total Long Term Debt,,,,,,,10748.0,10491.0,9741.0,9239.0,Balance Sheet
Total Debt,,,,,,,11832.0,11496.0,11495.0,11491.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,2813.0,2717.0,2600.0,2474.0,Balance Sheet
Other LT Liabilities,,,,,,,4893.0,5618.0,6023.0,6093.0,Balance Sheet
"Other Liabilities, Total",,,,,,,7706.0,8335.0,8623.0,8567.0,Balance Sheet
