,GE
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.24742268041237114
Growth 1yr High Est,0.244131455399061
Growth 1yr Consensus Est,0.24577706790571607
Growth 2yr Low Est,0.35305018318139214
Growth 2yr High Est,0.5428204446806626
Growth 2yr Consensus Est,0.44793531393102737
Growth 5yr Low Est,0.35305018318139214
Growth 5yr High Est,0.5428204446806626
Growth 5yr Consensus Est,0.44793531393102737
Growth 5yr Actual/Est,6.356524062032159
Growth 3yr Historic,6.128846153846154
