,GES
Price/Earnings (TTM),10.53698
Price/Sales (TTM),0.41004
Price/Book (MRQ),2.67391
Price/Cash Flow (TTM),5.45623
5yr Low,3.64
5yr High,31.12
5yr Avg Return,0.05655
EPS Growth 5yr,0.575156
Revenue Growth 5yr,0.0342079
Dividend Growth 5yr,
Short Int Current Month,4649689.0
Short Int Prev Month,4908583.0
Short Int Pct of Float,0.1645663
Days to Cover,6.60778
Float,28.25421
Shares Outstanding,54.43796
Institutions Holding Shares,221.0
% Held by Institutions,0.5549040000000001
FCF Growth 5yr,-1.8391921109794056
