,GGG
% Below High,0.134
% Held by Institutions,0.884
52-Wk Range,['56.48 - 81.09']
Annual Dividend $,0.84
Annual Dividend %,0.012
Ask,70.6
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.8
Bid,45.68
Bid Size,300.0
Closing Price,70.22
Day Change $,0.14
Day Change %,0.002
Day High,70.37
Day Low,69.84
Dividend Pay Date,2022-11-02 00:00:00
"EPS (TTM, GAAP)",2.62
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.272
Last (size),108.0
Last (time),5:00p ET 11/25/22
Market Cap,11.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.83
Prev Close,70.08
Shares Outstanding,168.5M
Short Interest,0.0169
Today's Open,70.37
Volume,343017.0
Volume 10-day Avg,1082234.0
Volume Past Day,(Light)
