,GIII
% Above Low,0.49060000000000004
% Held by Institutions,0.8955
52-Wk Range,['14.37 - 32.76']
Annual Dividend $,
Annual Dividend %,
Ask,23.32
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,2.5
Bid,8.58
Bid Size,200.0
Closing Price,21.42
Day Change $,-0.09
Day Change %,-0.0042
Day High,21.64
Day Low,21.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.5
Ex-dividend Date,No dividend
Historical Volatility,0.54
Last (size),27.0
Last (time),1:00p ET 11/25/22
Market Cap,1.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.76
Prev Close,21.51
Shares Outstanding,47.5M
Short Interest,0.0759
Today's Open,21.56
Volume,170488.0
Volume 10-day Avg,657202.0
Volume Past Day,(Light)
