,GILD
% Below High,0.0017000000000000001
% Held by Institutions,0.8012999999999999
52-Wk Range,['57.17 - 86.41']
Annual Dividend $,2.92
Annual Dividend %,0.0339
Ask,86.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,85.81
Bid Size,100.0
Closing Price,86.26
Day Change $,0.84
Day Change %,0.0098
Day High,86.41
Day Low,84.76
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",2.64
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.247
Last (size),180.0
Last (time),1:00p ET 11/25/22
Market Cap,108.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",32.62
Prev Close,85.42
Shares Outstanding,1.3B
Short Interest,0.0165
Today's Open,85.04
Volume,4028739.0
Volume 10-day Avg,7029881.0
Volume Past Day,(Light)
