,GIS
% Below High,0.0075
% Held by Institutions,0.7563
52-Wk Range,['61.41 - 83.60']
Annual Dividend $,2.16
Annual Dividend %,0.026000000000000002
Ask,82.97
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,0.3
Bid,82.65
Bid Size,200.0
Closing Price,82.97
Day Change $,0.19
Day Change %,0.0023
Day High,83.6
Day Low,82.64
Dividend Pay Date,2023-02-01 00:00:00
"EPS (TTM, GAAP)",4.75
Ex-dividend,2023-01-09 00:00:00
Ex-dividend Date,01/09/23
Historical Volatility,0.225
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,49.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.45
Prev Close,82.78
Short Interest,0.0253
Today's Open,83.25
Volume,1319937.0
Volume 10-day Avg,3549574.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-21 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.050000000000000044
Growth 1yr High Est,0.08808290155440424
Growth 1yr Consensus Est,0.06904145077720214
Growth 2yr Low Est,0.04003759398496243
Growth 2yr High Est,0.09166049839624968
Growth 2yr Consensus Est,0.06584904619060605
Growth 5yr Low Est,0.046367094193806246
Growth 5yr High Est,0.059400495599129244
Growth 5yr Consensus Est,0.052883794896467745
Growth 5yr Actual/Est,0.04774517524056349
Growth 3yr Historic,0.022359833064121204
Price/Earnings (TTM),17.45025
Price/Sales (TTM),2.56882
Price/Book (MRQ),4.66288
Price/Cash Flow (TTM),14.58482
5yr Low,36.42
5yr High,82.97
5yr Avg Return,0.10168333333333335
EPS Growth 5yr,0.09779529999999999
Revenue Growth 5yr,0.0398788
Dividend Growth 5yr,0.0121987
Short Int Current Month,15006207.0
Short Int Prev Month,13322273.0
Short Int Pct of Float,0.0253477
Days to Cover,3.45512
Float,592.4813
Shares Outstanding,593.5356
Institutions Holding Shares,1988.0
FCF Growth 5yr,0.015099992086351119
"Price/Earnings (TTM, GAAP)",17.45
"PEG Ratio (TTM, GAAP)",3.22
Gross Profit Margin (TTM),0.32630000000000003
Operating Profit Margin (TTM),0.19940000000000002
Net Profit Margin (TTM),0.147
Annual Dividend Yield,0.026000000000000002
Dividend Change %,0.0099
"Dividend Growth Rate, 3 Years",0.0134
EPS Growth (MRQ),0.003
EPS Growth (TTM),0.262
Revenue Growth (MRQ),-0.0355
Revenue Growth (TTM),0.047400000000000005
Return On Equity (TTM),0.2862
Return On Assets (TTM),0.0888
Return On Investment (TTM),0.1236
Revenue Per Employee (TTM),589862.0
Total Debt/Total Capital (MRQ),0.5164
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.35
Interest Coverage (MRQ),7.76
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2019-03-18 00:00:00
researchTeam since,2021-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-06-29 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
