,GKOS
Price/Earnings (TTM),
Price/Sales (TTM),7.89208
Price/Book (MRQ),4.09522
Price/Cash Flow (TTM),
5yr Low,23.08
5yr High,99.0
5yr Avg Return,0.1918333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.2077854
Dividend Growth 5yr,
Short Int Current Month,4101055.0
Short Int Prev Month,4166265.0
Short Int Pct of Float,0.08970560000000001
Days to Cover,7.68443
Float,45.81925
Shares Outstanding,47.70328
Institutions Holding Shares,282.0
% Held by Institutions,0.919624
FCF Growth 5yr,-2.062588658603097
