,GL
% Below High,0.0052
% Held by Institutions,0.8251000000000001
52-Wk Range,['85.25 - 117.91']
Annual Dividend $,0.83
Annual Dividend %,0.0070999999999999995
Ask,117.76
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,117.3
Day Change $,0.53
Day Change %,0.0045000000000000005
Day High,117.91
Day Low,117.0
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",7.09
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.26
Last (size),2300.0
Last (time),5:00p ET 11/25/22
Market Cap,11.4B
"P/E Ratio (TTM, GAAP)",16.55
Prev Close,116.77
Shares Outstanding,97.3M
Short Interest,0.0127
Today's Open,117.0
Volume,170751.0
Volume 10-day Avg,641976.0
Volume Past Day,(Light)
