,GNTX
% Above Low,0.2356
% Held by Institutions,0.8776999999999999
52-Wk Range,['23.28 - 36.65']
Annual Dividend $,0.48
Annual Dividend %,0.0167
Ask,29.03
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.9
Bid,28.49
Bid Size,500.0
Closing Price,28.76
Day Change $,0.13
Day Change %,0.0045000000000000005
Day High,28.87
Day Low,28.57
Dividend Pay Date,2022-10-19 00:00:00
"EPS (TTM, GAAP)",1.34
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.311
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,6.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.4
Prev Close,28.63
Shares Outstanding,234.6M
Short Interest,0.0165
Today's Open,28.73
Volume,201596.0
Volume 10-day Avg,825839.0
Volume Past Day,(Light)
