,GO
Price/Earnings (TTM),54.56305
Price/Sales (TTM),0.86361
Price/Book (MRQ),2.7279
Price/Cash Flow (TTM),22.17523
5yr Low,21.01
5yr High,48.87
5yr Avg Return,0.011999999999999995
EPS Growth 5yr,0.3941733
Revenue Growth 5yr,0.1095209
Dividend Growth 5yr,
Short Int Current Month,8693948.0
Short Int Prev Month,8323354.0
Short Int Pct of Float,0.0978709
Days to Cover,4.84868
Float,88.82679
Shares Outstanding,97.27898
Institutions Holding Shares,336.0
% Held by Institutions,0.976217
FCF Growth 5yr,1.8072593459968032
