,GT
% Above Low,0.1721
% Held by Institutions,0.785
52-Wk Range,['9.76 - 24.17']
Annual Dividend $,
Annual Dividend %,
Ask,11.49
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,11.4
Bid Size,100.0
Closing Price,11.44
Day Change $,0.15
Day Change %,0.013300000000000001
Day High,11.55
Day Low,11.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.01
Ex-dividend Date,No dividend
Historical Volatility,0.655
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.8
Prev Close,11.29
Shares Outstanding,282.9M
Short Interest,0.04650000000000001
Today's Open,11.3
Volume,1675684.0
Volume 10-day Avg,4347161.0
Volume Past Day,(Light)
