,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,74.32,84.89,91.13,94.98,97.15,108.1,,,,,
low,70.19,63.45,64.28,24.02,65.45,70.12,,,,,
change,0.028399999999999998,-0.0819,0.34880000000000005,-0.17579999999999998,0.2904,-0.0036,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,960.0,1023.0,1428.0,1223.0,Balance Sheet
Short Term Investments,,,,,,,227.0,282.0,527.0,151.0,Balance Sheet
Cash and Short Term Invs,,,,,,,1187.0,1305.0,1955.0,1374.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,686.0,711.0,758.0,760.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-53.0,-56.0,-59.0,-58.0,Balance Sheet
"Total Receivables, Net",,,,,,,633.0,655.0,699.0,702.0,Balance Sheet
Total Inventory,,,,,,,10.0,8.0,8.0,9.0,Balance Sheet
Prepaid Expenses,,,,,,,175.0,207.0,177.0,163.0,Balance Sheet
Restricted Cash - Current,,,,,,,57.0,47.0,53.0,356.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,,375.0,,30.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,57.0,422.0,53.0,386.0,Balance Sheet
Total Current Assets,,,,,,,2062.0,2597.0,2892.0,2634.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,3294.0,2936.0,2663.0,2731.0,Balance Sheet
"Goodwill, Net",,,,,,,2965.0,3006.0,3080.0,3120.0,Balance Sheet
Intangibles - Gross,,,,,,,2125.0,2089.0,2069.0,2051.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-148.0,-209.0,-259.0,-302.0,Balance Sheet
Intangibles - Net,,,,,,,1977.0,1880.0,1810.0,1749.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,,,216.0,209.0,185.0,182.0,Balance Sheet
LT Investments - Other,,,,,,,842.0,1197.0,1108.0,1049.0,Balance Sheet
Long Term Investments,,,,,,,1058.0,1406.0,1293.0,1231.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,41.0,57.0,63.0,63.0,Balance Sheet
Deferred Charges,,,,,,,,,,85.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,14.0,14.0,12.0,11.0,Balance Sheet
Restricted Cash - LT,,,,,,,,,37.0,38.0,Balance Sheet
Other Long Term Assets,,,,,,,1192.0,793.0,800.0,740.0,Balance Sheet
Total Assets,,,,,,,12603.0,12689.0,12650.0,12402.0,Balance Sheet
Accounts Payable,,,,,,,523.0,546.0,554.0,402.0,Balance Sheet
Accrued Expenses,,,,,,,521.0,471.0,571.0,676.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,10.0,6.0,6.0,654.0,Balance Sheet
Customer Advances,,,,,,,1178.0,1285.0,1280.0,1219.0,Balance Sheet
Discontinued Operations,,,,,,,,212.0,,6.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,1178.0,1497.0,1280.0,1225.0,Balance Sheet
Total Current Liabilities,,,,,,,2232.0,2520.0,2411.0,2957.0,Balance Sheet
