,HBI
% Above Low,0.057800000000000004
% Held by Institutions,0.8409
52-Wk Range,['6.40 - 17.81']
Annual Dividend $,0.6
Annual Dividend %,0.0886
Ask,6.79
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.5
Bid,6.4
Bid Size,200.0
Closing Price,6.77
Day Change $,0.06
Day Change %,0.0089
Day High,6.85
Day Low,6.68
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",1.0
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.459
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.79
Prev Close,6.71
Short Interest,0.1551
Today's Open,6.68
Volume,3326612.0
Volume 10-day Avg,11353959.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.4722222222222222
Growth 1yr High Est,-0.4623655913978495
Growth 1yr Consensus Est,-0.46729390681003585
Growth 2yr Low Est,-0.2992690058479532
Growth 2yr High Est,-0.1561827956989248
Growth 2yr Consensus Est,-0.227725900773439
Growth 5yr Low Est,-0.14101381326880416
Growth 5yr High Est,-0.0668554427932826
Growth 5yr Consensus Est,-0.10393462803104338
Growth 5yr Actual/Est,-0.09084854915233706
Growth 3yr Historic,0.021483150470219453
Price/Earnings (TTM),6.78588
Price/Sales (TTM),0.36273
Price/Book (MRQ),3.50043
Price/Cash Flow (TTM),5.18931
5yr Low,6.4
5yr High,23.33
5yr Avg Return,-0.10635
EPS Growth 5yr,0.0098665
Revenue Growth 5yr,0.024424800000000003
Dividend Growth 5yr,0.0639953
Short Int Current Month,53587405.0
Short Int Prev Month,49087940.0
Short Int Pct of Float,0.155054
Days to Cover,4.349
Float,345.6508
Shares Outstanding,348.9487
Institutions Holding Shares,662.0
FCF Growth 5yr,0.007022119667026372
"Price/Earnings (TTM, GAAP)",6.79
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.36950000000000005
Operating Profit Margin (TTM),0.0944
Net Profit Margin (TTM),0.0538
Annual Dividend Yield,0.0886
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.1356
EPS Growth (TTM),1.8881999999999999
Revenue Growth (MRQ),0.1039
Revenue Growth (TTM),-0.0334
Return On Equity (TTM),0.5341
Return On Assets (TTM),0.0481
Return On Investment (TTM),0.0696
Revenue Per Employee (TTM),110385.0
Total Debt/Total Capital (MRQ),0.8523999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),0.68
Interest Coverage (MRQ),4.02
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-06-07 00:00:00
researchTeam since,2021-10-01 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-10-01 00:00:00
ford since,2022-04-29 00:00:00
marketEdge opinion since,
