,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,21.75,23.33,19.38,17.74,22.82,17.55,,,,,
low,20.0,11.57,12.11,6.96,14.21,6.4,,,,,
change,0.0326,-0.4033,0.2054,-0.0129,0.139,-0.5989,,,,,
Date,,,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,536.0,369.0,248.0,253.0,Balance Sheet
"Total Receivables, Net",,,,,,,894.0,898.0,918.0,927.0,Balance Sheet
Invent. - Finished Goods,,,,,,,1405.0,1614.0,1864.0,1927.0,Balance Sheet
Invent. - Work In Progress,,,,,,,110.0,121.0,124.0,119.0,Balance Sheet
Invent. - Raw Materials,,,,,,,69.0,85.0,103.0,90.0,Balance Sheet
Total Inventory,,,,,,,1584.0,1820.0,2091.0,2136.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,327.0,8.0,12.0,15.0,Balance Sheet
Other Current Assets,,,,,,,187.0,202.0,237.0,224.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,514.0,210.0,249.0,239.0,Balance Sheet
Total Current Assets,,,,,,,3528.0,3298.0,3506.0,3555.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,805.0,794.0,792.0,779.0,Balance Sheet
"Goodwill, Net",,,,,,,1133.0,1139.0,1107.0,1085.0,Balance Sheet
Intangibles - Net,,,,,,,1220.0,1235.0,1261.0,1211.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,328.0,327.0,315.0,329.0,Balance Sheet
Disct. Ops. - LT Asset,,,,,,,0.0,,,,Balance Sheet
Other Long Term Assets,,,,,,,57.0,68.0,109.0,142.0,Balance Sheet
Total Assets,,,,,,,7071.0,6860.0,7089.0,7099.0,Balance Sheet
Accounts Payable,,,,,,,1215.0,1204.0,1237.0,1131.0,Balance Sheet
Accrued Expenses,,,,,,,507.0,693.0,681.0,694.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,25.0,161.0,130.0,243.0,Balance Sheet
Discontinued Operations,,,,,,,317.0,8.0,12.0,15.0,Balance Sheet
Other Current Liabilities,,,,,,,263.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,580.0,8.0,12.0,15.0,Balance Sheet
Total Current Liabilities,,,,,,,2327.0,2066.0,2060.0,2082.0,Balance Sheet
Total Long Term Debt,,,,,,,3326.0,3325.0,3627.0,3656.0,Balance Sheet
Total Debt,,,,,,,3351.0,3486.0,3757.0,3899.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,249.0,243.0,236.0,230.0,Balance Sheet
Other LT Liabilities,,,,,,,467.0,447.0,454.0,456.0,Balance Sheet
Discont. Ops. - Lblts,,,,,,,0.0,,,,Balance Sheet
"Other Liabilities, Total",,,,,,,716.0,689.0,690.0,686.0,Balance Sheet
Total Liabilities,,,,,,,6369.0,6080.0,6377.0,6424.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,,,,,315.0,316.0,322.0,328.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,935.0,977.0,1016.0,1043.0,Balance Sheet
