,HCA
% Below High,0.1421
% Held by Institutions,0.6586
52-Wk Range,['164.47 - 279.02']
Annual Dividend $,2.24
Annual Dividend %,0.009399999999999999
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,238.42
Bid Size,
Closing Price,239.37
Day Change $,2.09
Day Change %,0.0088
Day High,241.23
Day Low,237.41
Dividend Pay Date,2022-12-28 00:00:00
"EPS (TTM, GAAP)",17.71
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.435
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,67.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.52
Prev Close,237.28
Shares Outstanding,282.7M
Short Interest,0.0152
Today's Open,238.97
Volume,385133.0
Volume 10-day Avg,1288827.0
Volume Past Day,(Light)
