,HCSG
Price/Earnings (TTM),49.93135
Price/Sales (TTM),0.60708
Price/Book (MRQ),2.42586
Price/Cash Flow (TTM),31.46384
5yr Low,11.97
5yr High,56.2
5yr Avg Return,-0.17558333333333334
EPS Growth 5yr,-0.1029684
Revenue Growth 5yr,0.009949
Dividend Growth 5yr,0.025924299999999997
Short Int Current Month,4365785.0
Short Int Prev Month,5121043.0
Short Int Pct of Float,0.0593563
Days to Cover,8.36183
Float,73.55214
Shares Outstanding,74.088
Institutions Holding Shares,284.0
% Held by Institutions,0.999674
FCF Growth 5yr,-0.5903762232199773
