,HD
Price/Earnings (TTM),19.66859
Price/Sales (TTM),2.11482
Price/Book (MRQ),256.4774
Price/Cash Flow (TTM),16.70728
5yr Low,140.63
5yr High,420.61
5yr Avg Return,0.1365833333333333
EPS Growth 5yr,0.19222809999999999
Revenue Growth 5yr,0.09827730000000001
Dividend Growth 5yr,0.1904933
Short Int Current Month,9863619.0
Short Int Prev Month,7621441.0
Short Int Pct of Float,0.0096872
Days to Cover,1.96958
Float,1018.355
Shares Outstanding,1019.186
Institutions Holding Shares,3911.0
% Held by Institutions,0.68355
FCF Growth 5yr,0.14673839882856812
