,HE
% Below High,0.087
% Held by Institutions,0.5731
52-Wk Range,['33.18 - 44.72']
Annual Dividend $,1.4
Annual Dividend %,0.034300000000000004
Ask,41.99
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.4
Bid,34.4
Bid Size,100.0
Closing Price,40.83
Day Change $,0.56
Day Change %,0.0139
Day High,41.04
Day Low,40.42
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",2.17
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.24300000000000002
Last (size),643.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.78
Prev Close,40.27
Shares Outstanding,109.5M
Short Interest,0.0148
Today's Open,40.46
Volume,132809.0
Volume 10-day Avg,285722.0
Volume Past Day,(Light)
