,HEES
Price/Earnings (TTM),14.69583
Price/Sales (TTM),1.29833
Price/Book (MRQ),4.25601
Price/Cash Flow (TTM),3.96885
5yr Low,9.12
5yr High,50.69
5yr Avg Return,0.09788333333333332
EPS Growth 5yr,0.0966159
Revenue Growth 5yr,0.016740500000000002
Dividend Growth 5yr,0.0
Short Int Current Month,482982.0
Short Int Prev Month,643526.0
Short Int Pct of Float,0.0152263
Days to Cover,2.16526
Float,31.72021
Shares Outstanding,36.31019
Institutions Holding Shares,230.0
% Held by Institutions,0.744551
FCF Growth 5yr,1.5108347555939396
