,HIBB
% Below High,0.24719999999999998
% Held by Institutions,0.9803000000000001
52-Wk Range,['39.58 - 90.58']
Annual Dividend $,1.0
Annual Dividend %,0.0147
Ask,75.0
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.7
Bid,66.02
Bid Size,100.0
Closing Price,68.19
Day Change $,-1.51
Day Change %,-0.0217
Day High,70.03
Day Low,68.05
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",7.69
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.622
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,873.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.87
Prev Close,69.7
Shares Outstanding,12.8M
Short Interest,0.1437
Today's Open,69.4
Volume,215600.0
Volume 10-day Avg,250067.0
Volume Past Day,(Below Average)
