,HMST
% Above Low,0.2184
% Held by Institutions,0.8872
52-Wk Range,['22.44 - 57.40']
Annual Dividend $,1.4
Annual Dividend %,0.0512
Ask,27.33
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.0
Bid,24.8
Bid Size,200.0
Closing Price,27.34
Day Change $,0.57
Day Change %,0.0213
Day High,27.41
Day Low,26.65
Dividend Pay Date,2022-11-22 00:00:00
"EPS (TTM, GAAP)",4.47
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.349
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,511.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.12
Prev Close,26.77
Shares Outstanding,18.7M
Short Interest,0.0395
Today's Open,26.65
Volume,100292.0
Volume 10-day Avg,132525.0
Volume Past Day,(Light)
