,HOLX
% Below High,0.0691
% Held by Institutions,0.9898
52-Wk Range,['59.78 - 80.49']
Annual Dividend $,
Annual Dividend %,
Ask,77.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.0
Bid,71.85
Bid Size,500.0
Closing Price,74.93
Day Change $,0.55
Day Change %,0.0074
Day High,74.94
Day Low,73.83
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.12
Ex-dividend Date,No dividend
Historical Volatility,0.276
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,18.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.64
Prev Close,74.38
Shares Outstanding,245.8M
Short Interest,0.0352
Today's Open,74.52
Volume,450666.0
Volume 10-day Avg,1224248.0
Volume Past Day,(Light)
