,HP
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-1.9006849315068493
Growth 1yr High Est,-3.4633027522935778
Growth 1yr Consensus Est,-2.6819938419002134
Growth 2yr Low Est,-0.6404565341944892
Growth 2yr High Est,-1.5966420651598243
Growth 2yr Consensus Est,-1.1185492996771567
Growth 5yr Low Est,-0.42697102279632615
Growth 5yr High Est,-1.064428043439883
Growth 5yr Consensus Est,-0.7456995331181044
Growth 5yr Actual/Est,10.575960473634892
Growth 3yr Historic,0.24619856887298747
