,HPE
Price/Earnings (TTM),5.66296
Price/Sales (TTM),0.72799
Price/Book (MRQ),0.98923
Price/Cash Flow (TTM),3.27047
5yr Low,7.43
5yr High,19.48
5yr Avg Return,0.03860000000000001
EPS Growth 5yr,0.06719560000000001
Revenue Growth 5yr,-0.0170583
Dividend Growth 5yr,0.16886330000000002
Short Int Current Month,23515568.0
Short Int Prev Month,25777209.0
Short Int Pct of Float,0.0183437
Days to Cover,1.81381
Float,1269.424
Shares Outstanding,1286.701
Institutions Holding Shares,1102.0
% Held by Institutions,0.8231850000000001
FCF Growth 5yr,-0.39111270346921917
