,HSIC
Price/Earnings (TTM),17.72813
Price/Sales (TTM),0.87566
Price/Book (MRQ),3.05054
Price/Cash Flow (TTM),12.66836
5yr Low,41.85
5yr High,92.68
5yr Avg Return,0.025750000000000002
EPS Growth 5yr,0.0754181
Revenue Growth 5yr,0.0139401
Dividend Growth 5yr,
Short Int Current Month,5293473.0
Short Int Prev Month,4985523.0
Short Int Pct of Float,0.0394897
Days to Cover,3.98636
Float,134.1567
Shares Outstanding,135.5476
Institutions Holding Shares,829.0
% Held by Institutions,0.9767220000000001
FCF Growth 5yr,0.42401979599664436
