,HTBI
% Above Low,0.1638
% Held by Institutions,0.5882000000000001
52-Wk Range,['21.55 - 32.60']
Annual Dividend $,0.4
Annual Dividend %,0.0159
Ask,26.0
Ask Size,2000.0
B/A Ratio,0.1
B/A Size,200x2000
Beta,0.6
Bid,24.5
Bid Size,200.0
Closing Price,25.08
Day Change $,-0.22
Day Change %,-0.0087
Day High,25.44
Day Low,25.08
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.19
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.23199999999999998
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,392.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.43
Prev Close,25.3
Shares Outstanding,15.6M
Short Interest,0.0063
Today's Open,25.39
Volume,20952.0
Volume 10-day Avg,36901.0
Volume Past Day,(Light)
