,HTZ
% Above Low,0.13470000000000001
% Held by Institutions,0.9642000000000001
52-Wk Range,['15.00 - 26.93']
Annual Dividend $,
Annual Dividend %,
Ask,17.2
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,16.6
Bid Size,100.0
Closing Price,17.02
Day Change $,0.17
Day Change %,0.0101
Day High,17.21
Day Low,16.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.16
Ex-dividend Date,No dividend
Historical Volatility,0.604
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,5.7B
"P/E Ratio (TTM, GAAP)",5.38
Prev Close,16.85
Shares Outstanding,334.0M
Short Interest,0.0687
Today's Open,16.88
Volume,785960.0
Volume 10-day Avg,2373362.0
Volume Past Day,(Light)
