,HUN
Price/Earnings (TTM),5.34808
Price/Sales (TTM),0.60623
Price/Book (MRQ),1.47348
Price/Cash Flow (TTM),3.68244
5yr Low,12.23
5yr High,41.65
5yr Avg Return,0.016083333333333335
EPS Growth 5yr,0.2687414
Revenue Growth 5yr,0.023721199999999998
Dividend Growth 5yr,0.0771436
Short Int Current Month,3972075.0
Short Int Prev Month,4873596.0
Short Int Pct of Float,0.0221046
Days to Cover,1.43265
Float,179.9177
Shares Outstanding,192.0995
Institutions Holding Shares,525.0
% Held by Institutions,0.8821420000000001
FCF Growth 5yr,3.4998480383127646
