,HWM
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.404040404040404
Growth 1yr High Est,0.38235294117647056
Growth 1yr Consensus Est,0.39319667260843727
Growth 2yr Low Est,0.3027396264806337
Growth 2yr High Est,0.33656654151022114
Growth 2yr Consensus Est,0.3196530839954274
Growth 5yr Low Est,0.019790865871895796
Growth 5yr High Est,0.03744214925978345
Growth 5yr Consensus Est,0.02861650756583964
Growth 5yr Actual/Est,0.06587495475173785
Growth 3yr Historic,-0.0895882701421801
