,HY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,24.01,Valuation,
Price/Sales (TTM),0.15,3.06,Valuation,0.049019607843137254
Price/Book (MRQ),4.48,7.44,Valuation,0.6021505376344086
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.1034,0.32799999999999996,Profitability,0.31524390243902445
Operating Profit Margin (TTM),-0.0489,0.0198,Profitability,-2.4696969696969693
Net Profit Margin (TTM),-0.057300000000000004,-0.0086,Profitability,6.662790697674419
Annual Dividend Yield,0.042800000000000005,0.0143,Dividend,2.9930069930069934
Dividend Change %,0.0118,0.1666,Dividend,0.07082833133253301
"Dividend Growth Rate, 3 Years",0.013999999999999999,0.0885,Dividend,0.1581920903954802
EPS Growth (MRQ),-0.9212,0.3518,Gowth rates,-2.618533257532689
EPS Growth (TTM),-2.2612,0.16149999999999998,Gowth rates,-14.001238390092881
Revenue Growth (MRQ),-0.0618,0.196,Gowth rates,-0.3153061224489796
Revenue Growth (TTM),0.1441,0.1475,Gowth rates,0.976949152542373
Return On Equity (TTM),-0.627,0.2859,Effectiveness,-2.193074501573977
Return On Assets (TTM),-0.0985,0.0851,Effectiveness,-1.1574618096357228
Return On Investment (TTM),-0.24670000000000003,0.12490000000000001,Effectiveness,-1.9751801441152923
Revenue Per Employee (TTM),418864.0,343373.0,Effectiveness,1.2198512987334473
Total Debt/Total Capital (MRQ),0.8012,0.6352000000000001,Financial strength,1.2613350125944582
Change in Debt/Total Capital Quarter over Quarter,0.0032,0.0189,Financial strength,0.16931216931216933
Quick Ratio (MRQ),0.46,1.07,Financial strength,0.42990654205607476
Interest Coverage (MRQ),-4.61,20.9,Financial strength,-0.22057416267942587
