,HZO
Price/Earnings (TTM),3.67959
Price/Sales (TTM),0.30648
Price/Book (MRQ),0.9019
Price/Cash Flow (TTM),3.25373
5yr Low,7.25
5yr High,70.89
5yr Avg Return,0.17840000000000003
EPS Growth 5yr,0.5608432
Revenue Growth 5yr,0.1700954
Dividend Growth 5yr,
Short Int Current Month,2728016.0
Short Int Prev Month,2427171.0
Short Int Pct of Float,0.12973800000000002
Days to Cover,7.32172
Float,21.06212
Shares Outstanding,21.71889
Institutions Holding Shares,282.0
% Held by Institutions,0.967599
FCF Growth 5yr,-1.6670869785925273
