,IAA
Price/Earnings (TTM),17.28552
Price/Sales (TTM),2.33072
Price/Book (MRQ),10.6717
Price/Cash Flow (TTM),12.66775
5yr Low,21.79
5yr High,66.85
5yr Avg Return,0.005475000000000012
EPS Growth 5yr,0.2506188
Revenue Growth 5yr,0.10846059999999999
Dividend Growth 5yr,
Short Int Current Month,3538544.0
Short Int Prev Month,3243276.0
Short Int Pct of Float,0.0265866
Days to Cover,1.07547
Float,133.1005
Shares Outstanding,133.7646
Institutions Holding Shares,395.0
% Held by Institutions,1.065638
FCF Growth 5yr,0.2868507463294694
